task,dimension,y_label,model_type,model_index,random_seed_test,fusion,roc_auc_dev,accuracy_dev,f1_dev,recall_dev,precision_dev,norm_expected_cost_dev,norm_cross_entropy_dev,roc_auc_holdout,accuracy_holdout,f1_holdout,recall_holdout,precision_holdout,norm_expected_cost_holdout,norm_cross_entropy_holdout
dia_tipico,mlu__universal_dependencies__verbosity__word_properties__talking_intervals,group,lr,424.0,,early_fusion,"0.64789, (0.47721, 0.77752)","0.62500, (0.49773, 0.73182)","0.61358, (0.45630, 0.75477)","0.59545, (0.40933, 0.75805)","0.63285, (0.43893, 0.81647)","0.75000, (0.46683, 0.95023)","1.03213, (0.83313, 1.30825)","0.53571, (0.20000, 0.81481)","0.53333, (0.26667, 0.80000)","0.58824, (0.26667, 0.82353)","0.62500, (0.25000, 1.00000)","0.55556, (0.20000, 0.87500)","1.00000, (0.24579, 1.60000)","1.19310, (0.77223, 1.65786)"
dia_tipico,mlu__universal_dependencies__verbosity__word_properties__talking_intervals,group,qda,213.0,,early_fusion,"0.69585, (0.55359, 0.80360)","0.68182, (0.55566, 0.77727)","0.70085, (0.56216, 0.81400)","0.74545, (0.58185, 0.85759)","0.66129, (0.48057, 0.81930)","0.63636, (0.36250, 0.86667)","1.81160, (1.22079, 2.56992)","0.52679, (0.18535, 0.82000)","0.60000, (0.33333, 0.80000)","0.57143, (0.20000, 0.84211)","0.50000, (0.14286, 0.83333)","0.66667, (0.22447, 1.00000)","0.85714, (0.28571, 1.75000)","2.36227, (1.01082, 4.34642)"
dia_tipico,mlu__universal_dependencies__verbosity__word_properties__talking_intervals,group,xgb,305.0,,early_fusion,"0.63201, (0.49669, 0.78224)","0.60227, (0.50227, 0.72045)","0.60137, (0.45690, 0.73430)","0.60000, (0.43333, 0.74378)","0.60274, (0.42660, 0.77897)","0.79545, (0.49954, 0.98889)","1.53263, (1.04600, 1.98430)","0.71429, (0.35291, 0.92000)","0.53333, (0.26667, 0.80000)","0.53333, (0.20000, 0.83333)","0.50000, (0.14286, 0.88889)","0.57143, (0.14286, 1.00000)","1.00000, (0.28571, 1.66667)","1.36039, (0.68312, 2.40756)"
recuerdo_agradable,mlu__universal_dependencies__verbosity__word_properties__talking_intervals,group,knnc,290,,early_fusion,"0.66958, (0.54031, 0.77338)","0.62500, (0.49858, 0.73837)","0.53521, (0.37406, 0.69080)","0.43182, (0.27459, 0.62008)","0.70370, (0.46305, 0.87955)","0.75000, (0.48389, 0.96667)","1.38621, (1.01447, 1.94955)","0.63393, (0.28960, 0.87500)","0.53333, (0.26667, 0.80000)","0.46154, (0.16019, 0.80000)","0.37500, (0.09091, 0.75000)","0.60000, (0.00000, 1.00000)","1.00000, (0.33333, 1.83333)","1.74015, (0.69736, 3.40082)"
recuerdo_agradable,mlu__universal_dependencies__verbosity__word_properties__talking_intervals,group,lr,4.0,,early_fusion,"0.67682, (0.51301, 0.81021)","0.63182, (0.49346, 0.74773)","0.60870, (0.44466, 0.74845)","0.57273, (0.39444, 0.74500)","0.64948, (0.42771, 0.82134)","0.73636, (0.44589, 1.00000)","0.97022, (0.76963, 1.21719)","0.82143, (0.47507, 1.00000)","0.73333, (0.46667, 0.93333)","0.75000, (0.40000, 0.94737)","0.75000, (0.28571, 1.00000)","0.75000, (0.35866, 1.00000)","0.57143, (0.00000, 1.20000)","0.75418, (0.52529, 1.10739)"
recuerdo_agradable,mlu__universal_dependencies__verbosity__word_properties__talking_intervals,group,qda,211.0,,early_fusion,"0.62918, (0.52246, 0.73605)","0.60227, (0.51361, 0.69324)","0.61024, (0.47594, 0.71870)","0.62273, (0.47175, 0.74006)","0.59825, (0.41936, 0.75186)","0.79545, (0.50302, 0.94211)","2.29737, (1.67093, 2.91431)","0.57143, (0.26809, 0.83891)","0.46667, (0.20000, 0.73333)","0.42857, (0.15385, 0.77190)","0.37500, (0.09091, 0.75000)","0.50000, (0.09806, 1.00000)","1.14286, (0.38617, 1.66667)","2.63521, (1.12812, 4.38800)"
recuerdo_agradable,mlu__universal_dependencies__verbosity__word_properties__talking_intervals,group,xgb,78.0,,early_fusion,"0.58965, (0.45084, 0.71987)","0.55227, (0.45245, 0.64991)","0.54079, (0.40016, 0.67103)","0.52727, (0.37636, 0.66745)","0.55502, (0.36810, 0.74149)","0.89545, (0.64751, 1.06316)","1.15173, (0.92308, 1.40376)","0.66071, (0.27155, 0.91071)","0.66667, (0.40000, 0.86667)","0.70588, (0.36364, 0.90561)","0.75000, (0.28571, 1.00000)","0.66667, (0.28571, 0.90909)","0.71429, (0.14286, 1.33333)","1.08889, (0.60758, 2.05908)"
craft__fugu__lamina2,composite,group,knnc,318,,single dimension,"0.77486, (0.64052, 0.88251)","0.66591, (0.54773, 0.77509)","0.57143, (0.41847, 0.73134)","0.44545, (0.28978, 0.61568)","0.79675, (0.57609, 0.93248)","0.66818, (0.39583, 0.87000)","0.88315, (0.78574, 0.99279)",,,,,,,
craft__fugu__lamina2,composite,group,lr,440.0,,single dimension,"0.81690, (0.65550, 0.91201)","0.71591, (0.56136, 0.82045)","0.71396, (0.54252, 0.83581)","0.70909, (0.50549, 0.87329)","0.71889, (0.47000, 0.86606)","0.56818, (0.26695, 0.85500)","0.83864, (0.74895, 0.91100)",,,,,,,
craft__fugu__lamina2,composite,group,qda,357.0,,single dimension,"0.77596, (0.64156, 0.87587)","0.71136, (0.57796, 0.80952)","0.69249, (0.54574, 0.81501)","0.65000, (0.46411, 0.80632)","0.74093, (0.51988, 0.87512)","0.57727, (0.33903, 0.79508)","1.08325, (0.72382, 1.67101)",,,,,,,
craft__fugu__lamina2,composite,group,xgb,356.0,,single dimension,"0.78987, (0.63974, 0.89241)","0.69773, (0.57500, 0.80455)","0.69977, (0.54917, 0.81664)","0.70455, (0.54387, 0.85758)","0.69507, (0.47491, 0.84235)","0.60455, (0.33009, 0.83630)","0.98295, (0.65228, 1.43799)",,,,,,,
craft__fugu__lamina2,mlu__universal_dependencies__verbosity__word_properties__talking_intervals,group,knnc,153,,early_fusion,"0.79530, (0.65380, 0.89473)","0.71818, (0.60838, 0.81818)","0.68687, (0.54784, 0.81603)","0.61818, (0.44093, 0.78166)","0.77273, (0.56939, 0.90092)","0.56364, (0.30871, 0.77857)","0.82719, (0.70503, 0.96619)","0.82143, (0.47177, 0.97321)","0.80000, (0.53333, 0.93333)","0.76923, (0.40000, 1.00000)","0.62500, (0.25000, 1.00000)","1.00000, (nan, nan)","0.42857, (0.00000, 1.66667)","0.78593, (0.58676, 1.12836)"
craft__fugu__lamina2,mlu__universal_dependencies__verbosity__word_properties__talking_intervals,group,lr,384.0,,early_fusion,"0.81890, (0.66874, 0.90985)","0.75000, (0.64215, 0.84318)","0.73934, (0.60224, 0.84523)","0.70909, (0.55230, 0.84810)","0.77228, (0.58194, 0.89377)","0.50000, (0.23982, 0.69500)","0.92965, (0.89149, 0.96687)","0.85714, (0.53472, 1.00000)","0.80000, (0.53333, 0.93333)","0.76923, (0.35235, 0.94118)","0.62500, (0.20343, 0.88889)","1.00000, (nan, nan)","0.42857, (0.00000, 1.50000)","0.92332, (0.84218, 1.03672)"
craft__fugu__lamina2,mlu__universal_dependencies__verbosity__word_properties__talking_intervals,group,qda,339.0,,early_fusion,"0.78008, (0.65440, 0.86394)","0.75455, (0.63182, 0.83864)","0.76623, (0.63769, 0.85930)","0.80455, (0.66609, 0.90000)","0.73140, (0.52676, 0.86471)","0.49091, (0.26096, 0.70000)","1.46294, (0.93120, 2.21902)","0.38393, (0.13851, 0.66667)","0.40000, (0.20000, 0.66667)","0.40000, (0.14286, 0.71429)","0.37500, (0.00000, 0.75000)","0.42857, (0.11111, 0.85714)","1.28571, (0.54383, 2.00000)","3.66050, (1.88698, 5.50647)"
craft__fugu__lamina2,mlu__universal_dependencies__verbosity__word_properties__talking_intervals,group,xgb,144.0,,early_fusion,"0.79776, (0.65801, 0.90735)","0.72045, (0.58864, 0.82273)","0.71329, (0.57124, 0.83713)","0.69545, (0.49928, 0.85909)","0.73206, (0.54917, 0.86830)","0.55909, (0.29524, 0.77783)","0.93790, (0.59041, 1.39961)","0.71429, (0.34365, 0.95667)","0.73333, (0.46667, 0.93333)","0.75000, (0.44444, 0.94118)","0.75000, (0.33333, 1.00000)","0.75000, (0.37149, 1.00000)","0.57143, (0.00000, 1.20000)","1.13625, (0.46019, 2.11873)"
dia_tipico__recuerdo_agradable,mlu__universal_dependencies__verbosity__word_properties__talking_intervals,group,knnc,128,,early_fusion,"0.72315, (0.57304, 0.83713)","0.68409, (0.56710, 0.78182)","0.64810, (0.48702, 0.77511)","0.58182, (0.40001, 0.74737)","0.73143, (0.49484, 0.88448)","0.63182, (0.39037, 0.86304)","0.91037, (0.82502, 1.00654)","0.36607, (0.10536, 0.71240)","0.33333, (0.13333, 0.60000)","0.37500, (0.13333, 0.66681)","0.37500, (0.00000, 0.80000)","0.37500, (0.00000, 0.77073)","1.42857, (0.49100, 2.00000)","1.11434, (0.86717, 1.29934)"
dia_tipico__recuerdo_agradable,mlu__universal_dependencies__verbosity__word_properties__talking_intervals,group,lr,380.0,,early_fusion,"0.71056, (0.54664, 0.83865)","0.66591, (0.52727, 0.77727)","0.67114, (0.50411, 0.80560)","0.68182, (0.47539, 0.84360)","0.66079, (0.45030, 0.82144)","0.66818, (0.36984, 0.90476)","0.92756, (0.85621, 1.00130)","0.58929, (0.22222, 0.86364)","0.53333, (0.26667, 0.80000)","0.53333, (0.16667, 0.82353)","0.50000, (0.12500, 0.85714)","0.57143, (0.16667, 1.00000)","1.00000, (0.28571, 1.66667)","0.98628, (0.83818, 1.13001)"
dia_tipico__recuerdo_agradable,mlu__universal_dependencies__verbosity__word_properties__talking_intervals,group,qda,342.0,,early_fusion,"0.67470, (0.55130, 0.78075)","0.65000, (0.54181, 0.74545)","0.66810, (0.53055, 0.77842)","0.70455, (0.53469, 0.83112)","0.63525, (0.46963, 0.78334)","0.70000, (0.40472, 0.88193)","2.04995, (1.42871, 2.70341)","0.46429, (0.19848, 0.74089)","0.53333, (0.26667, 0.77137)","0.58824, (0.27159, 0.82353)","0.62500, (0.16465, 1.00000)","0.55556, (0.22222, 0.87500)","1.00000, (0.29628, 1.60000)","3.13745, (1.35829, 4.84457)"
dia_tipico__recuerdo_agradable,mlu__universal_dependencies__verbosity__word_properties__talking_intervals,group,xgb,304.0,,early_fusion,"0.61636, (0.46028, 0.75512)","0.57955, (0.46602, 0.69318)","0.57471, (0.43478, 0.71252)","0.56818, (0.41519, 0.72052)","0.58140, (0.39276, 0.75845)","0.84091, (0.56374, 1.07315)","1.12263, (0.85141, 1.39753)","0.78571, (0.38889, 1.00000)","0.80000, (0.53333, 0.93333)","0.80000, (0.40000, 0.95238)","0.75000, (0.28571, 1.00000)","0.85714, (0.20329, 1.00000)","0.42857, (0.00000, 1.25000)","0.96973, (0.63795, 1.73983)"
